,Lunch,Food amount,Hot or Cold,Healthy,Far,Better with group,Take out and less wait,Taste
Minsu villiage,1,1,1,0,0,1,1,0
Dingguagua,1,1,1,0,0,1,1,1
Konfu Noddle,0,1,1,0,0,0,0,0
poke,0,1,0,1,0,0,1,1
Xiao Liu,1,1,1,0,1,1,0,1
Five Two,1,1,1,0,0,1,1,0
Wan Luan,1,0,1,0,0,1,1,1
falafal,0,1,1,0,0,0,1,1
pho,0,1,1,1,0,0,0,1
Chick & Tea,0,0,1,0,1,0,1,1
Jenny's kitchen,1,1,1,0,1,0,0,1
Hipot,0,0,1,0,1,1,1,1
In n Out,0,1,1,1,0,0,0,1
chipola,0,0,1,1,0,0,1,1
popeyes,0,0,1,0,1,0,1,1
mayflower,0,0,1,0,0,1,0,1
Capriotti's,0,1,0,1,0,0,1,1